web-scraper-order;web-scraper-start-url;baujahr_km_schaltung_raw;baujahr_raw;km_raw;schaltung_raw;preis_raw;model_raw
1699947782-441;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer01.197668.450 kmManuellBenzin1920 (VS);1.1976;68.450 km;Manuell;CHF 24'000;MG B B Roadster (cabriolet)
1699947782-442;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer03.198734.300 kmManuellBenzin9524 (SG);3.1987;34.300 km;Manuell;CHF 299'800;Porsche Carrera 911 Carrera Cabrio
1699947782-443;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer08.199227.999 kmAutomatBenzin9524 (SG);8.1992;27.999 km;Automat;CHF 59'800;Mercedes-Benz SL 600 SL 600
1699947782-444;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer02.197469.850 kmManuellBenzin1260 (VD);2.1974;69.850 km;Manuell;CHF 11'500;VW Beetle Beetle 1.4
1699947782-445;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer07.195792.500 kmManuellBenzin8213 (SH);7.1957;92.500 km;Manuell;CHF 44'900;Opel Blitz Blitz Oldtimer
1699947782-446;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer07.197667.777 kmManuellBenzin9524 (SG);7.1976;67.777 km;Manuell;CHF 39'800;VW Käfer Käfer
1699947782-447;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer08.197040.800 kmAutomatBenzin1162 (VD);8.197;40.800 km;Automat;CHF 115'900;Mercedes-Benz SL 65 AMG SL 65 AMG Automatic
1699947782-448;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer03.196660.228 kmManuellBenzin8908 (ZH);3.1966;60.228 km;Manuell;CHF 85'000;Porsche 912 912
1699947782-449;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer04.197264.500 kmManuellBenzin3236 (BE);4.1972;64.500 km;Manuell;CHF 25'850;VW TYP 181 TYP 181 Kübelwagen
1699947782-450;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=55;Oldtimer06.196723.500 kmAutomatBenzin3236 (BE);6.1967;23.500 km;Automat;CHF 37'850;Chevrolet Impala Impala SS 327cu 5.4-V8
1699947786-451;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=54;Oldtimer09.195399.700 kmManuell2824 (JU);9.1953;99.700 km;Manuell;CHF 39'900;Mercedes-Benz  170 S
1699947786-452;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=54;Oldtimer10.197096.500 kmManuellBenzin9524 (SG);10.197;96.500 km;Manuell;CHF 14'800;Toyota COROLLA COROLLA 1.2 KE20
1699947786-453;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=54;Oldtimer01.199062.400 kmAutomatBenzin8556 (TG);1.199;62.400 km;Automat;CHF 25'800;Rolls-Royce Silver Spirit Silver Spirit II
1699947786-454;https://www.comparis.ch/carfinder/marktplatz?requestobject=%7B%22Make%22%3Anull%2C%22Model%22%3Anull%2C%22VehicleType%22%3A%226%22%2C%22Construction%22%3A%22%22%2C%22FirstMatriculationYearFrom%22%3A1900%2C%22FirstMatriculationYearTo%22%3A2000%2C%22PriceFrom%22%3Anull%2C%22PriceTo%22%3Anull%2C%22MileageFrom%22%3A10000%2C%22MileageTo%22%3A100000%2C%22MaxAdAge%22%3Anull%2C%22MinComparisPoints%22%3Anull%2C%22OutsideColor%22%3A%22%22%2C%22Transmission%22%3Anull%2C%22DriveTrain%22%3Anull%2C%22Co2Emission%22%3Anull%2C%22Eurocode%22%3Anull%2C%22FuelType%22%3Anull%2C%22PerformanceFrom%22%3Anull%2C%22PerformanceTo%22%3Anull%2C%22ConsumptionFrom%22%3Anull%2C%22ConsumptionTo%22%3Anull%2C%22SeatsFrom%22%3Anull%2C%22SeatsTo%22%3Anull%2C%22DoorsFrom%22%3Anull%2C%22DoorsTo%22%3Anull%2C%22Cantons%22%3A%22%22%2C%22ComfortOptions%22%3A%22%22%2C%22SecurityOptions%22%3A%22%22%2C%22Features%22%3A%22%22%2C%22FreeTextSearch%22%3A%22%22%2C%22CapacityFrom%22%3Anull%2C%22CapacityTo%22%3Anull%2C%22Garage%22%3Anull%2C%22ModelGroup%22%3Anull%2C%22Site%22%3Anull%2C%22EfficiencyCategory%22%3Anull%2C%22Sort%22%3A3%2C%22TypeTag%22%3Anull%2C%22MFK%22%3Anull%2C%22ImageRequired%22%3Anull%2C%22MakeAggregationLabelID%22%3Anull%2C%22ModelGroupAggregationLabelID%22%3Anull%2C%22ModelAggregationLabelID%22%3Anull%7D&page=54;Oldtimer02.197099.999 kmAutomatBenzin9450 (SG);2.197;99.999 km;Automat;CHF 24'500;Chevrolet  C10 / CST
